Region,Key Apps,Ticket Type,Team,YearWeek,Number,State_Type,Priority,YearWeek1
APAC,Adept,SR,Local,201950.0,INC8343578,Resolved,1.0,202001
APAC,Other,SR,GD,201950.0,INC8349715,Resolved,1.0,202001
APAC,Other,SR,GD,201950.0,INC8355109,Resolved,1.0,202001
APAC,Other,SR,GD,201950.0,INC8355131,Resolved,1.0,202001
APAC,Other,SR,GD,201950.0,INC8355494,Resolved,1.0,202001
APAC,Other,SR,GD,201950.0,INC8355778,Resolved,1.0,202001
APAC,Other,SR,GD,201950.0,INC8355951,Resolved,1.0,202001
APAC,Other,SR,GD,201950.0,INC8362886,Resolved,1.0,202001
APAC,Other,SR,GD,201950.0,INC8363184,Resolved,1.0,202001
APAC,Other,SR,GD,201950.0,INC8363214,Resolved,1.0,202001
APAC,Other,Incident,GD,201950.0,INC8364922,Resolved,1.0,202001
APAC,Other,Incident,Local,201950.0,INC8397744,Created,1.0,202001
APAC,Other,SR,GD,201950.0,INC8411262,Created,1.0,202001
Global - EMEA,Maconomy,SR,GD,201950.0,INC8361030,Resolved,1.0,202001
Global - EMEA,Maconomy,SR,GD,201950.0,INC8364308,Resolved,1.0,202001
Global - EMEA,Maconomy,SR,GD,201950.0,INC8379895,Resolved,1.0,202001
Global - EMEA,Maconomy (Kantar),SR,GD,201950.0,INC8382341,Resolved,1.0,202001
Global - EMEA,Maconomy,SR,GD,201950.0,INC8395000,Created,1.0,202001
Global - EMEA,Maconomy,SR,GD,201950.0,INC8402257,Created,1.0,202001
Global - EMEA,Maconomy,SR,GD,201950.0,INC8403144,Created,1.0,202001
Global - EMEA,Maconomy,SR,GD,201950.0,INC8413004,Created,1.0,202001
Global - EMEA,Maconomy,SR,GD,201950.0,INC8421443,Created,1.0,202001
Global - NA,Maconomy (Kantar),SER,Local,201950.0,INC7592626,Resolved,1.0,202001
LATAM,Other,SR,Local,201950.0,INC8375194,Resolved,1.0,202001
LATAM,Tango & Condor,SR,Local,201950.0,INC8395706,Created,1.0,202001
LATAM,Other,SR,Local,201950.0,INC8410479,Created,1.0,202001
LATAM,Other,SR,Local,201950.0,INC8420762,Created,1.0,202001
NA.,PeopleSoft,SR,GD,201950.0,INC8308925,Resolved,1.0,202001
NA.,Other,SR,GD,201950.0,INC8394626,Created,1.0,202001
NA.,Maconomy (Kantar),SR,GD,201950.0,INC8396668,Created,1.0,202001
APAC,Other,SR,GD,201951.0,INC8326382,Resolved,1.0,202001
APAC,Adept,Incident,GD,201951.0,INC8423187,Created,1.0,202001
APAC,Adept,Incident,GD,201951.0,INC8431349,Created,1.0,202001
APAC,Other,SR,GD,201951.0,INC8437464,Created,1.0,202001
Global - EMEA,Maconomy,SR,GD,201951.0,INC8051961,Resolved,1.0,202001
Global - EMEA,Maconomy,SR,GD,201951.0,INC8225874,Resolved,1.0,202001
Global - EMEA,Maconomy,Incident,GD,201951.0,INC8424938,Created,1.0,202001
Global - EMEA,Maconomy,SR,GD,201951.0,INC8436629,Created,1.0,202001
Global - EMEA,Maconomy,Incident,Local,201951.0,INC8453035,Created,1.0,202001
Global - NA,Maconomy (Kantar),SR,GD,201951.0,INC8426143,Created,1.0,202001
LATAM,Other,SR,Local,201951.0,INC8434836,Created,1.0,202001
LATAM,Tango & Condor,Incident,Local,201951.0,INC8441705,Created,1.0,202001
LATAM,Other,SR,Local,201951.0,INC8442717,Created,1.0,202001
NA.,Other,SR,Local,201951.0,INC8429615,Created,1.0,202001
NA.,PeopleSoft,SR,GD,201951.0,INC8442888,Created,1.0,202001
NA.,JD Edwards,Incident,GD,201951.0,INC8453742,Created,1.0,202001
APAC,Other,SR,GD,201952.0,INC8228070,Resolved,1.0,202001
APAC,Adept,SR,Local,201952.0,INC8289636,Resolved,1.0,202001
APAC,Adept,SR,GD,201952.0,INC8462138,Created,1.0,202001
APAC,Other,Incident,Local,201952.0,INC8462586,Created,1.0,202001
Global - EMEA,Maconomy,SR,Local,201952.0,INC7896699,Resolved,1.0,202001
Global - EMEA,Maconomy,SR,GD,201952.0,INC8459687,Created,1.0,202001
Global - EMEA,Maconomy,SR,GD,201952.0,INC8462042,Created,1.0,202001
Global - EMEA,Maconomy,Incident,GD,201952.0,INC8462607,Created,1.0,202001
Global - EMEA,Maconomy,SR,GD,201952.0,INC8462635,Created,1.0,202001
Global - NA,Maconomy (Kantar),Incident,GD,201952.0,INC8454928,Created,1.0,202001
Global - EMEA,Maconomy,SER,GD,202001.0,INC8158900,Resolved,1.0,202001
Global - EMEA,Maconomy,SR,GD,202001.0,INC8474552,Created,1.0,202001
Global - EMEA,Maconomy,SR,GD,202001.0,INC8474616,Created,1.0,202001
Global - EMEA,Maconomy,SR,GD,202001.0,INC8474835,Created,1.0,202001
Global - EMEA,Maconomy,Incident,GD,202001.0,INC8475503,Created,1.0,202001
Global - EMEA,Maconomy,Incident,GD,202001.0,INC8476413,Created,1.0,202001
Global - NA,Maconomy (Kantar),SR,GD,202001.0,INC8477379,Created,1.0,202001
LATAM,Other,SR,Local,202001.0,INC8477753,Created,1.0,202001
LATAM,Other,SR,Local,202001.0,INC8478622,Created,1.0,202001
Global - EMEA,Maconomy - EMEA,Incident,GD,201951.0,INC8452840,Created,1.0,202002
Global - EMEA,Maconomy - EMEA,Incident,GD,202001.0,INC8485801,Created,1.0,202002
APAC,Adept,Incident,Local,202002.0,INC8487947,Created,1.0,202002
Global - EMEA,Maconomy - EMEA,SR,GD,202002.0,INC8041283,Resolved,1.0,202002
Global - EMEA,Maconomy - EMEA,SR,GD,202002.0,INC8276091,Resolved,1.0,202002
Global - EMEA,Maconomy - EMEA,SR,GD,202002.0,INC8342092,Resolved,1.0,202002
Global - EMEA,Maconomy - EMEA,SR,GD,202002.0,INC8385806,Resolved,1.0,202002
Global - EMEA,Maconomy - EMEA,SR,GD,202002.0,INC8469015,Resolved,1.0,202002
Global - EMEA,Maconomy - EMEA,SR,GD,202002.0,INC8486347,Created,1.0,202002
Global - EMEA,Maconomy - EMEA,Incident,GD,202002.0,INC8486949,Created,1.0,202002
Global - EMEA,Maconomy - EMEA,SR,GD,202002.0,INC8489699,Created,1.0,202002
Global - EMEA,Maconomy - EMEA,Incident,GD,202002.0,INC8495666,Created,1.0,202002
Global - NA,Maconomy - NA,SR,GD,202002.0,INC8490726,Created,1.0,202002
Global - NA,Maconomy - NA,Incident,GD,202002.0,INC8498261,Created,1.0,202002
NA.,Maconomy - NA,SR,Local,202002.0,INC8495440,Created,1.0,202002
NA.,SAP,SR,GD,202001.0,INC8476840,Created,1.0,202003
APAC,Adept,SR,Local,202002.0,INC8512292,Created,1.0,202003
APAC,Adept,SR,GD,202002.0,INC8523735,Created,1.0,202003
NA.,SAP,SR,GD,202002.0,INC8493950,Created,1.0,202003
APAC,Adept,SER,Local,202003.0,INC6871369,Resolved,1.0,202003
APAC,Other - APAC,SR,GD,202003.0,INC8526011,Created,1.0,202003
APAC,Other - APAC,SR,GD,202003.0,INC8527540,Created,1.0,202003
APAC,Other - APAC,SR,GD,202003.0,INC8541170,Created,1.0,202003
APAC,Other - APAC,SR,GD,202003.0,INC8542887,Created,1.0,202003
Global - EMEA,Maconomy - EMEA,SR,GD,202003.0,INC8526182,Created,1.0,202003
Global - EMEA,Maconomy - EMEA,SR,GD,202003.0,INC8528298,Created,1.0,202003
Global - EMEA,Maconomy - EMEA,SR,GD,202003.0,INC8537837,Created,1.0,202003
Global - EMEA,Maconomy - EMEA,SER,GD,202003.0,INC8538844,Created,1.0,202003
Global - EMEA,Maconomy - EMEA,SR,GD,202003.0,INC8548014,Created,1.0,202003
Global - EMEA,Maconomy - EMEA,SR,GD,202003.0,INC8555479,Created,1.0,202003
Global - NA,Maconomy - NA,SR,GD,202003.0,INC8535125,Created,1.0,202003
LATAM,Tango & Condor,SR,Local,202003.0,INC8545846,Created,1.0,202003
NA.,Other - NA,SR,Local,202003.0,INC8382298,Resolved,1.0,202003
APAC,Adept,SR,GD,202003.0,INC8554956,Created,1.0,202004
Global - EMEA,Maconomy - EMEA,SR,GD,202003.0,INC8551019,Created,1.0,202004
Global - EMEA,Maconomy - EMEA,SR,GD,202003.0,INC8558578,Created,1.0,202004
Global - NA,Maconomy - NA,SR,GD,202003.0,INC8549994,Created,1.0,202004
LATAM,Tango & Condor,SR,Local,202003.0,INC8540980,Created,1.0,202004
APAC,Adept,Incident,Local,202004.0,INC8297713,Resolved,1.0,202004
APAC,Other - APAC,Incident,GD,202004.0,INC8561150,Created,1.0,202004
APAC,Other - APAC,Incident,GD,202004.0,INC8562606,Created,1.0,202004
APAC,Other - APAC,SR,GD,202004.0,INC8563240,Created,1.0,202004
APAC,Other - APAC,Incident,GD,202004.0,INC8567085,Created,1.0,202004
Global - EMEA,Maconomy - NA,SR,GD,202004.0,INC8562818,Created,1.0,202004
Global - EMEA,Maconomy - EMEA,SR,GD,202004.0,INC8569541,Created,1.0,202004
Global - EMEA,Maconomy - NA,SR,GD,202004.0,INC8569706,Created,1.0,202004
LATAM,Other - LATAM,Incident,Local,202004.0,INC8564241,Created,1.0,202004
